time,trend,season,com3-6,com2
2021/1/8,37395.97441,-8795.315978,-1104.844355,234.18593
2021/1/8,37383.67012,-9196.308356,-1054.706924,208.345156
2021/1/8,37370.44658,-9434.615894,-957.864716,101.034036
2021/1/8,37356.40387,-9415.354754,-810.217549,-4.831561
2021/1/8,37341.63608,-8944.058535,-607.79286,73.215325
2021/1/8,37326.23137,-8221.6907,-346.577781,-171.962854
2021/1/8,37310.27136,-6359.792691,-26.730182,-45.748484
2021/1/8,37293.83096,-4847.732263,332.003471,5.897842
2021/1/8,37276.97188,-2836.65628,689.831507,145.852858
2021/1/8,37259.7358,-1349.421025,1002.918128,300.767032
2021/1/8,37242.14005,544.772098,1228.986754,427.101134
2021/1/8,37224.16736,1777.20665,1342.640795,142.985149
2021/1/8,37205.76014,2795.280273,1362.615417,157.344201
2021/1/8,37186.81648,3316.276997,1318.281741,-44.375264
2021/1/8,37167.19285,3647.337842,1238.983298,-3.513958
2021/1/8,37146.7177,3832.468954,1154.013571,7.799821
2021/1/8,37125.20662,4119.429959,1089.307647,-92.944237
2021/1/8,37102.46882,4301.82498,1054.49905,65.207143
2021/1/8,37078.3093,4652.919481,1041.750505,269.020758
2021/1/8,37052.5297,4659.075313,1039.649458,250.745606
2021/1/8,37024.92565,4689.735707,1033.977771,341.360805
2021/1/8,36995.28798,4475.637348,995.233448,74.841306
2021/1/8,36963.40475,4638.123493,874.862844,-61.391123
2021/1/8,36929.06511,4736.510744,638.745322,32.678826
2021/1/8,36892.05919,5157.803119,326.73833,227.399369
2021/1/8,36852.1818,5797.487061,-2.487213,371.81835
2021/1/8,36809.24156,6787.70637,-296.700474,174.752544
2021/1/8,36763.06517,8312.229984,-534.215074,148.919906
2021/1/8,36713.50745,9010.625094,-701.060489,61.927907
2021/1/8,36660.45789,9129.206665,-787.64132,-32.023215
2021/1/8,36603.84667,8552.929337,-802.977161,219.201184
2021/1/8,36543.65753,7759.464807,-764.920665,276.798341
2021/1/8,36479.94001,6704.306517,-692.02172,432.7752
2021/1/8,36412.80883,5159.928609,-598.605042,85.867635
2021/1/8,36342.43591,4036.173238,-488.353442,40.74426
2021/1/8,36269.04605,2790.208133,-362.628782,53.374605
2021/1/8,36192.90931,1204.811222,-224.750934,-18.96959
2021/1/8,36114.34293,-374.402948,-81.115053,4.175062
2021/1/8,36033.71042,-1906.996197,65.780818,297.504961
2021/1/8,35951.40668,-3642.611934,214.667194,481.538074
2021/1/8,35867.84661,-5408.491495,363.335315,350.309592
2021/1/8,35783.458,-6483.388592,506.069708,391.860864
2021/1/9,35698.67769,-6735.881992,637.484886,272.719408
2021/1/9,35613.94341,-6318.745519,753.483651,272.318508
2021/1/9,35529.69025,-6584.562826,850.410297,184.462265
2021/1/9,35446.34505,-7168.277237,925.761646,45.17059
2021/1/9,35364.31799,-7682.458011,977.220764,-93.080772
2021/1/9,35283.99466,-7948.690561,1004.678488,-26.982554
2021/1/9,35205.72777,-8374.608004,1012.33968,-16.459428
2021/1/9,35129.82894,-8759.665828,988.012673,-33.175809
2021/1/9,35056.56085,-9007.604123,914.560109,119.48312
2021/1/9,34986.12711,-9048.194279,775.724743,253.342379
2021/1/9,34918.66741,-8652.132619,557.933838,260.531367
2021/1/9,34854.25203,-8108.649387,248.076768,345.320554
2021/1/9,34792.88436,-6535.754869,-159.802598,394.673119
2021/1/9,34734.50469,-5245.273987,-638.280307,269.04959
2021/1/9,34678.99648,-3558.69126,-1119.432196,229.126989
2021/1/9,34626.19329,-2305.358649,-1522.841227,-0.99332
